net1,stn1,net2,stn2,dist_km,quartile,c_min_source,best_delta_km_s,c_min_km_s,nw_high,target_nws
G,FOMA,XV,MARO,593.3160293589796,3,reference_curve_fallback,0.0,1.222631066,5.564335653519007,"[8.35, 5.56, 3.9, 2.5, 1.39]"
G,FOMA,XV,VATO,660.6200204814663,3,reference_curve_fallback,0.0,1.222631066,4.997440939740821,"[7.5, 5.0, 3.5, 2.25, 1.25]"
XV,MAHA,XV,ZOBE,561.8601566946433,3,reference_curve_fallback,0.0,1.222631066,5.875856290270343,"[8.81, 5.88, 4.11, 2.64, 1.47]"
XV,BANJ,XV,BATG,630.4486211080945,3,reference_curve_fallback,0.0,1.222631066,5.236603627055046,"[7.85, 5.24, 3.67, 2.36, 1.31]"
XV,LAHA,XV,VATO,508.3041534759519,3,reference_curve_fallback,0.0,1.222631066,6.494948965870866,"[9.74, 6.49, 4.55, 2.92, 1.62]"
XV,BATG,XV,DGOS,808.2897318371334,4,reference_curve_fallback,0.0,1.222631066,4.084438297221519,"[6.13, 4.08, 2.86, 1.84, 1.02]"
AF,SKRH,XV,BAEL,1013.653280762859,4,reference_curve_fallback,0.0,1.222631066,3.2569415979021077,"[4.89, 3.26, 2.28, 1.47, 0.81]"
XV,BAEL,XV,LONA,1031.5599231211452,4,reference_curve_fallback,0.0,1.222631066,3.2004050002035473,"[4.8, 3.2, 2.24, 1.44, 0.8]"
XV,LONA,XV,SOLA,906.3292924882792,4,reference_curve_fallback,0.0,1.222631066,3.6426159491134333,"[5.46, 3.64, 2.55, 1.64, 0.91]"
XV,DGOS,XV,MAGY,783.3665617980087,4,round1_converged_pick,0.2500000000000009,1.4726310660000008,5.076131953908746,"[7.61, 5.08, 3.55, 2.28, 1.27]"
XV,KIRI,XV,MKVA,874.0878416212104,4,reference_curve_fallback,0.0,1.222631066,3.776976842331116,"[5.67, 3.78, 2.64, 1.7, 0.94]"
XV,DGOS,XV,KIRI,1000.4631727403766,4,reference_curve_fallback,0.0,1.222631066,3.299881120984776,"[4.95, 3.3, 2.31, 1.48, 0.82]"
XV,DGOS,XV,MMBE,1229.8383167364768,4,reference_curve_fallback,0.0,1.222631066,2.6844256607056978,"[4.03, 2.68, 1.88, 1.21, 0.67]"
XV,AMPY,XV,BANJ,1289.8935840072404,4,reference_curve_fallback,0.0,1.222631066,2.559443334627803,"[3.84, 2.56, 1.79, 1.15, 0.64]"
G,FOMA,XV,DGOS,1433.4305574579778,4,reference_curve_fallback,0.0,1.222631066,2.3031527539228445,"[3.45, 2.3, 1.61, 1.04, 0.58]"
XV,BAEL,XV,MAHA,966.2056856327284,4,reference_curve_fallback,0.0,1.222631066,3.416880675675741,"[5.13, 3.42, 2.39, 1.54, 0.85]"
XV,MAHA,XV,MKVA,1035.1045263077913,4,reference_curve_fallback,0.0,1.222631066,3.1894455603847067,"[4.78, 3.19, 2.23, 1.44, 0.8]"
XV,AMPY,XV,ANTS,1143.5500892615876,4,reference_curve_fallback,0.0,1.222631066,2.886982885111997,"[4.33, 2.89, 2.02, 1.3, 0.72]"
XV,BANJ,XV,MAHA,1062.60491611923,4,reference_curve_fallback,0.0,1.222631066,3.1069021852671947,"[4.66, 3.11, 2.17, 1.4, 0.78]"
XV,BAND,XV,LAHA,780.3232850616911,4,reference_curve_fallback,0.0,1.222631066,4.230822787385482,"[6.35, 4.23, 2.96, 1.9, 1.06]"
